#Wavelength[nm]	ADC
177.850	1186
178.205	1241
178.559	1213
178.913	1211
179.265	1178
179.617	1226
179.968	1207
180.319	1220
180.669	1230
181.018	1189
181.366	1291
181.714	1227
182.061	1202
182.407	1324
182.752	1247
183.097	1177
183.441	1179
183.785	1243
184.127	1224
184.469	1253
184.811	1225
185.151	1214
185.491	1277
185.831	1226
186.169	1204
186.507	1213
186.845	1176
187.181	1174
187.518	1361
187.853	1207
188.188	1167
188.522	1204
188.855	1217
189.188	1207
189.521	1278
189.852	1266
190.183	1241
190.514	1208
190.844	1239
191.173	1182
191.501	1161
191.829	1217
192.157	1238
192.484	1218
192.810	1202
193.136	1261
193.461	1202
193.785	1196
194.109	1221
194.432	1220
194.755	1198
195.077	1271
195.399	1254
195.720	1236
196.041	1215
196.361	1175
196.680	1204
196.999	1215
197.318	1221
197.635	1221
197.953	1199
198.270	1234
198.586	1234
198.902	1283
199.217	1211
199.531	1247
199.846	1257
200.159	1230
200.473	1238
200.785	1246
201.097	1273
201.409	1233
201.720	1228
202.031	1217
202.341	1170
202.651	1198
202.960	1171
203.269	1193
203.577	1221
203.885	1190
204.192	1192
204.499	1189
204.806	1192
205.112	1225
205.417	1217
205.722	1221
206.027	1223
206.331	1207
206.635	1240
206.938	1246
207.241	1176
207.543	1235
207.845	1186
208.147	1217
208.448	1196
208.748	1230
209.049	1213
209.349	1177
209.648	1250
209.947	1160
210.246	1234
210.544	1201
210.842	1237
211.139	1224
211.436	1206
211.732	1209
212.029	1224
212.324	1189
212.620	1226
212.915	1234
213.210	1243
213.504	1175
213.798	1255
214.091	1193
214.384	1320
214.677	1217
214.969	1180
215.262	1219
215.553	1208
215.844	1214
216.135	1209
216.426	1224
216.716	1220
217.006	1255
217.296	1197
217.585	1171
217.874	1238
218.162	1211
218.450	1196
218.738	1215
219.026	1220
219.313	1241
219.600	1199
219.886	1235
220.172	1202
220.458	1182
220.744	1228
221.029	1172
221.314	1183
221.598	1239
221.883	1173
222.167	1274
222.450	1222
222.734	1179
223.017	1203
223.299	1218
223.582	1219
223.864	1229
224.146	1221
224.427	1251
224.709	1193
224.990	1204
225.270	1208
225.551	1210
225.831	1241
226.111	1212
226.390	1217
226.670	1236
226.949	1264
227.227	1202
227.506	1182
227.784	1181
228.062	1217
228.340	1206
228.617	1240
228.894	1240
229.171	1214
229.448	1211
229.724	1183
230.000	1247
230.276	1215
230.552	1241
230.827	1237
231.102	1224
231.377	1206
231.652	1326
231.926	1206
232.201	1229
232.475	1242
232.748	1245
233.022	1262
233.295	1209
233.568	1220
233.841	1241
234.113	1224
234.386	1221
234.658	1215
234.930	1182
235.201	1219
235.473	1249
235.744	1247
236.015	1266
236.286	1215
236.556	1244
236.827	1252
237.097	1251
237.367	1204
237.637	1247
237.906	1241
238.175	1221
238.445	1222
238.714	1564
238.982	1249
239.251	1254
239.519	1218
239.787	1254
240.055	1211
240.323	1212
240.591	1241
240.858	1230
241.125	1209
241.392	1225
241.659	1271
241.926	1234
242.192	1238
242.459	1224
242.725	1223
242.991	1241
243.256	1243
243.522	1327
243.787	1273
244.053	1786
244.318	1270
244.583	1222
244.847	1199
245.112	1284
245.376	1244
245.640	1250
245.904	1250
246.168	1236
246.432	1212
246.696	1200
246.959	1224
247.222	1224
247.485	1230
247.748	1170
248.011	1185
248.274	1233
248.536	1204
248.799	1203
249.061	1208
249.323	1190
249.585	1214
249.846	1188
250.108	1195
250.369	1219
250.631	1197
250.892	1164
251.153	1216
251.414	1218
251.675	1225
251.935	1228
252.196	1225
252.456	1259
252.716	1224
252.976	1219
253.236	1245
253.496	1235
253.755	1230
254.015	1192
254.274	1220
254.534	1357
254.793	1197
255.052	1201
255.310	1245
255.569	1197
255.828	1218
256.086	1202
256.345	1167
256.603	1219
256.861	1197
257.119	1211
257.377	1189
257.635	1249
257.892	1217
258.150	1202
258.407	1212
258.664	1200
258.921	1237
259.178	1225
259.435	1214
259.692	1249
259.949	1238
260.205	1242
260.462	1222
260.718	1164
260.974	1214
261.231	1234
261.487	1302
261.742	1198
261.998	1251
262.254	1227
262.509	1236
262.765	1242
263.020	1259
263.276	1261
263.531	1216
263.786	1203
264.041	1231
264.296	1237
264.550	1238
264.805	1241
265.059	1251
265.314	1230
265.568	1209
265.822	1221
266.076	1232
266.330	1208
266.584	1397
266.838	1247
267.092	1243
267.345	1226
267.599	1227
267.852	1272
268.106	1270
268.359	1274
268.612	1208
268.865	1267
269.118	1247
269.371	1256
269.624	1272
269.876	1279
270.129	1209
270.381	1218
270.634	1257
270.886	1212
271.138	1274
271.390	1244
271.642	1236
271.894	1285
272.146	1250
272.398	1231
272.649	1242
272.901	1247
273.152	1232
273.404	1219
273.655	1263
273.906	1287
274.157	1253
274.408	1246
274.659	1223
274.910	1279
275.160	1280
275.411	1257
275.662	1255
275.912	1279
276.163	1275
276.413	1299
276.663	1305
276.913	1305
277.163	1308
277.413	1282
277.663	1263
277.913	1293
278.162	1743
278.412	1258
278.661	1307
278.911	1283
279.160	1285
279.409	1253
279.658	1253
279.908	1256
280.156	1262
280.405	1239
280.654	1262
280.903	1205
281.151	1280
281.400	1254
281.648	1228
281.897	1218
282.145	1279
282.393	1258
282.641	1261
282.889	1291
283.137	1292
283.385	1247
283.633	1280
283.881	1287
284.128	1251
284.376	1284
284.623	1246
284.871	1335
285.118	1537
285.365	2065
285.612	2824
285.859	2881
286.106	3396
286.353	4456
286.599	5346
286.846	5458
287.093	4133
287.339	2517
287.585	1550
287.832	1322
288.078	1294
288.324	1272
288.570	1231
288.816	1242
289.062	1305
289.308	1222
289.553	1240
289.799	1261
290.044	1367
290.290	1405
290.535	1730
290.780	2029
291.025	2365
291.270	2802
291.515	3786
291.760	4850
292.005	5462
292.250	4754
292.494	3138
292.739	1773
